Row Labels,Acacia Pied Barbet,Acrocephalus spp,African Crake,African Cuckoo,African Firefinch,African Fish Eagle,African Goshawk,African Green Pigeon,African Grey Hornbill,African Harrier-Hawk,African Hawk Eagle,African Hoopoe,African Palm Swift,African Paradise Flycatcher,African Pied Wagtail,African Pipit,African Reed Warbler,African Swift,Amethyst Sunbird,Amur Falcon,Aquila spp,Arrow-marked Babbler,Ashy Flycatcher,Barn Swallow,Bar-throated Apalis,Bateleur,Bearded Scrub Robin,Bearded Woodpecker,Bennett's Woodpecker,Black Cuckoo,Black Cuckooshrike,Black-backed Puffback,Black-bellied Bustard,Black-collared Barbet,Black-crowned Tchagra,Black-headed Heron,Black-headed Oriole,Black-shouldered Kite,Blacksmith Lapwing,Black-winged Stilt,Blue Waxbill,Brimstone Canary,Broad-tailed Warbler,Bronze Mannikin,Brown-crowned Tchagra,Brown-headed Parrot,Brown-hooded Kingfisher,Brubru,Burchell's Coucal,Burnt-necked Eremomela,Cape Batis,Cape Glossy Starling,Cape Turtle Dove,Cape White-eye,Cardinal Woodpecker,Cattle Egret,Chinspot Batis,Common Buttonquail,Common Greenshank,Common Myna,Common Ostrich,Common Quail,Common Sandpiper,Common Scimitarbill,Common Swift,Common Waxbill,Crested Barbet,Crested Francolin,Crested Guineafowl,Croaking Cisticola,Crowned Hornbill,Crowned Lapwing,Dark-capped Bulbul,Desert Cisticola,Dideric Cuckoo,Dusky Indigobird,Eastern Nicator,Egyptian Goose,Emerald-spotted Wood Dove,Eurasian Hobby,European Bee-eater,European Roller,Fan-tailed Widowbird,Fiery-necked Nightjar,Flappet Lark,Fork-tailed Drongo,Gabar Goshawk,Golden-breasted Bunting,Golden-tailed Woodpecker,Gorgeous Bushshrike,Great Reed Warbler,Greater Honeyguide,Green Wood-Hoopoe,Green-backed Camaroptera,Green-winged Pytilia,Grey Go-Away Bird,Grey Heron,Grey Penduline-Tit,Grey Sunbird,Grey Tit-Flycatcher,Grey-headed Bushshrike,Groundscraper Thrush,Hadada Ibis,Hamerkop,Helmeted Guineafowl,Hooded Vulture,House Martin,House Sparrow,Jacobin Cuckoo,Jameson's Firefinch,Klaas's Cuckoo,Kurrichane Thrush,Laughing Dove,Lazy Cisticola,Lesser Grey Shrike,Lesser Honeyguide,Lesser Masked Weaver,Lesser Striped Swallow,Levaillant's Cuckoo,Lilac-breasted Roller,Little Bee-eater,Little Rush Warbler,Little Swift,Livingstone's Turaco,Long-billed Crombec,Long-billed Pipit,Long-tailed Paradise Whydah,Malachite Kingfisher,Marabou Stork,Marico Sunbird,Marsh Owl,Marsh Sandpiper,Marsh Warbler,Namaqua Dove,Narina Trogon,Natal Spurfowl,Neddicky,Olive Bushshrike,Olive Sunbird,Orange-breasted Bushshrike,Pale Flycatcher,Peregrine Falcon,Pied Crow,Pied Kingfisher,Pink-throated Twinspot,Pin-tailed Whydah,Plain-backed Pipit,Purple-banded Sunbird,Purple-crested Turaco,Rattling Cisticola,Red-backed Shrike,Red-billed Oxpecker,Red-billed Quelea,Red-breasted Swallow,Red-capped Robin-Chat,Red-chested Cuckoo,Red-collared Widowbird,Red-eyed Dove,Red-faced Cisticola,Red-faced Mousebird,Red-fronted Tinkerbird,Red-headed Weaver,Red-winged Starling,Reed Cormorant,Retz's Helmetshrike,Rock Dove,Rudd's Apalis,Rufous-naped Lark,Sabota Lark,Sand Martin,Scaly-throated Honeyguide,Scarlet-chested Sunbird,Senegal Lapwing,Shelley's Francolin,Sombre Greenbul,Southern Black Flycatcher,Southern Black Tit,Southern Boubou,Southern Fiscal,Southern Grey-headed Sparrow,Southern Masked Weaver,Southern Red Bishop,Southern Red-billed Hornbill,Southern Yellow-billed Hornbill,Speckled Mousebird,Spectacled Weaver,Spotted Flycatcher,Spotted Thick-knee,Steppe Buzzard,Stierling's Wren-Warbler,Streaky-headed Seedeater,Striped Kingfisher,Swainson's Spurfowl,Tambourine Dove,Tawny-flanked Prinia,Terrestrial Brownbul,Thick-billed Weaver,Three-banded Plover,Trumpeter Hornbill,Village Weaver,Violet-backed Starling,Wahlberg's Eagle,Water Thick-knee,White-backed Vulture,White-bellied Sunbird,White-browed Robin-Chat,White-browed Scrub Robin,White-crested Helmetshrike,White-faced Whistling Duck,White-fronted Bee-eater,White-throated Robin-Chat,White-winged Widowbird,Willow Warbler,Wire-tailed Swallow,Wood Sandpiper,Woodland Kingfisher,Yellow-bellied Eremomela,Yellow-billed Kite,Yellow-breasted Apalis,Yellow-fronted Canary,Yellow-fronted Tinkerbird,Yellow-rumped Tinkerbird,Yellow-throated Longclaw,Yellow-throated Petronia,Zitting Cisticola
208,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,5,2,,,,,,1,,,,,,,,1,,,,1,,,,,,,1,,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,
210,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,1,,,,,1,,,2,,,,,,,#VALUE!,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,2,,,,,,1,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,
211,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,2,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,10,,,,,,,,,,,,,,,,,,,,,,1,,,,2,4,3,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,2,,,1,,
212,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,2,,62,,,,,,,1,,,,,,1,,1,,,,1,,,,,,,2,2,,1,,,1,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,1,,3,,,,,
213,1,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,1,,,1,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,5,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,1,,1,,,,,,,2,,,,1,2,,,,,1,2,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,1,,1,,,4,,
214,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,3,,,,,4,,,1,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,5,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,1,2,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,5,,,1,,
215,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,10,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,2,2,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,1,,4,,,,,
216,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,2,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,30,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,4,1,2,,,,1,,,,,,,,,1,,,,,,1,,,,2,,,,,,,,1,,,,,1,,1,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,94,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,2,,,,,,,,,,1,,,,,,,,1,,,,,1,,3,,,,,1
226,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,1,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,2,3,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,2,,2,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
227,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,1,,,,,,2,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
228,1,,,,,,,,,,,,,,,2,,,,1,,,,3,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,5,,,,,1,,,,,,,,,,,2,,,,,1,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,1
229,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,,,,,,1,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,,,,,1,,1,,,,,
230,1,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,8,,,,,1,1,,,,,,,,2,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,4,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,
231,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,2,1,,,,1,,,,,,,,,,,,,,,,1,,2,,,,1,,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,1,,,,,,,,1,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,1
232,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,2,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,4,,,,,,,,1,1,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,
233,1,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,3,,,,,,1,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,2,,,,,
234,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,2,,,,2,2,,,,1,,,,,,,,,,2,2,,,,,2,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,,2,,,1,,,,,,,,,,,,,,,,,,1,,2,6,,,,,,,,,,,,1,,,,,
235,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
236,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,2,,,,6,1,,,,,,,,,,1,,,,,5,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,2,,,,,1,,1,,,,,1,,,,,2,,,,,3,,,,,,,,,,,,,,,,,1,,,2,1,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,
237,#VALUE!,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,9,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,2,,,,,
239,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,1,,,,,
240,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,4,
241,1,,,,,,,,,,,,,,,1,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,6,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,2,,,,,
242,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
243,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,1,1,2,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,2,,,,1,,,,1,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,2,,,2,,1,,,,,,1,,,,,,,,,,2,,,,,,,,,1,1,3,,,,1,,,,,,,,1,,,,,,
244,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,1,,,1,,,,,,1,,,,1,,,1,1,,,1,,,1,,2,,,,1,,,1,,,,,,,,,2,,,,,,2,,,,,,,3,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,4,,,,,,,,,,,,,,,1,,2,1,,,,,,,2,1,,,,,,,,,,2,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,
245,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,4,,,,1,,1,1,1,,,1,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,1,,3,,,,,2,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,2,,,,,2,,,,,,,,,,1,,,,,,,,,,2,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,3,1,,,,,,,,,1,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
246,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,2,1,,,1,,1,,,,2,,,,,,,2,,,,3,1,,1,,2,,,,,,,1,,,3,,,,,,2,,,,,,1,,4,,,,,3,,2,1,,,,,,,,,,,,,,,,4,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,,,4,1,2,,,,,,,,1,,,,,,,,,,,,,,,1,2,1,,,,,,,,,2,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,3,,,,,
247,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,1,,,,1,,2,1,,,,,2,3,,,,,,1,,,1,,2,3,,1,3,1,,1,,,,1,,,,2,,,,,,2,,,,,2,2,,,,,,,,,1,1,,,,,,,,1,,,1,1,,2,,3,,,,,,,2,,,,,,,,,,,,,1,,1,1,,,,2,,,,,,,,,,,,1,,,,,,3,,,,,,,,3,,4,,,,1,,,,,,,,,,,,,2,2,,1,,2,,,,1,1,,,,,,,,1,,,3,,11,,,6,,,,3,,2,,,,1,2,3,1,,,,2,,,,,
248,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,1,,1,,,,,3,,1,1,,1,,,,,,,,,,,,,,,,6,,1,,,,1,,,1,,,,2,,1,1,,,,,,,,,,,1,,,,,,,,,,,,3,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,3,,,,,,,,,,,,,,,1,,,2,,,,,,,,2,1,,,,,,,,1,2,3,,,,,,,,,,,,,,1,,1,,,2,,,,1,,,,,
249,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,2,,,,,,,1,,1,,,1,,1,,1,,,,,,,,,,1,,,,,,2,,,,,,2,,,1,,,,2,,,1,,,,,,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,3,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,4,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,1,,,,2,,,,1,
250,,,,,,,,,,,,,,,,2,,,,,,5,,1,,,,,,,,,,,1,,1,,,,1,,,,,,,1,,1,,1,,,1,,1,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,1,1,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,3,3,2,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,
251,1,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,1,,1,,1,,,,1,,,,,,1,,,,,,,,1,,,,,,2,1,,,,2,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,1,,,,,,,,,4,,,,,,,,2,1,,2,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,1,
252,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,2,,,,,1,,,,,,,,,,,,,,,,3,,1,,,,,,,1,,,,#VALUE!,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,
253,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,1,,,,,,3,,,,,,1,,,2,,,,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,2,,,,,,,1,,,,,1,,1,,1,,,,,,,,,,1,,,1,,,,,,,,,2,,,1,,,,2,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,1,,,,,2,,,,,,,,2,,,,1,,,,2,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,1,,,,,1,,,,,,,,,,1,,,,,1,3,,,,,,,,3,,,,3,,,,,
256,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,1,,,,,1,,1,,,,,,1,,,,1,,,,,,,2,1,,,,1,,,,,,,1,,,1,2,,,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,1,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,1,,,2,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,2,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,34,,,,1,
260,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,2,,,,,,,1,2,,,1,1,,1,,,,,,,,,1,,,2,2,,,,,2,,,,,,1,,,,,,,2,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,2,,,2,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,1,,,,1,
268,1,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,1,,,,,,1,,,,,,,2,1,,,2,,,,,1,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,2,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,
269,1,,,,,,,,,,,,,,,,,,,,,3,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,2,1,,,,1,,,,,,,1,,,2,,,,,,2,,,,,,2,,,,,,,,,,1,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,2,,,,,,1,,,,,,,,,,,2,2,,,,,,,,,2,,1,,,,,,,,,,,,1,,,,,,
270,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,1,,,,1,2,,,,1,,,,,,,,,,,3,,,,,1,,,,,,1,,,,,,,1,,1,1,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,1,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,1,1,,,,1,
